Number,Ticker,Current Close,Technical Indicator,Note
2,DWAS,40.21,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.12% - moving average convergence divergence  -- stock is down -2% for the day
1,DWCH,7.55,,Relative Stregnth Index:  78 -  Stochastic Oscillator:  27 -- stock is down -3% the last 3 months
2,DWCH,7.55,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.67% - moving average convergence divergence  -- stock is down -3% the last 3 months
1,DWSN,7.90,,Relative Stregnth Index:  46 -  Stochastic Oscillator:  45 -- stock is down -6% for the day
2,DWSN,7.90,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.38% - moving average convergence divergence  -- stock is down -6% for the day
1,DWTR,24.59,,Relative Stregnth Index:  48 -  Stochastic Oscillator:  25 -- stock is down -2% for the day
2,DWTR,24.59,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -2% for the day
1,DXJH,31.51,,Relative Stregnth Index:  41 -  Stochastic Oscillator:  2 -- stock is down -1% for the day
2,DXJH,31.51,Simple Average,50 / 200 day cross within 0.38% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,DY,80.32,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  3 -- stock is down -6% the last 3 months
2,DY,80.32,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.82% - moving average convergence divergence  -- stock is down -6% the last 3 months
1,DZZ,6.32,,Relative Stregnth Index:  39 -  Stochastic Oscillator:  5 -- stock is down -8% the last month
2,DZZ,6.32,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -8% the last month
1,EAGL,9.97,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% for the day
2,EAGL,9.97,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  100 -- stock is down 0% for the day
1,EARS,1.11,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -10% the last 3 months
2,EARS,1.11,,Relative Stregnth Index:  36 -  Stochastic Oscillator:  47 -- stock is down -10% the last 3 months
1,EBS,29.72,,Relative Stregnth Index:  28 -  Stochastic Oscillator:  16 -- stock is down -2% the last month
2,EBS,29.72,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last month
1,EC,9.31,,Relative Stregnth Index:  43 -  Stochastic Oscillator:  74 -- stock is down -3% the last week
2,EC,9.31,Simple Average,50 / 200 day cross within 0.78% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last week
1,ECNS,42.94,,Relative Stregnth Index:  63 -  Stochastic Oscillator:  63 -- stock is down -4% the last 3 months
2,ECNS,42.94,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.07% - moving average convergence divergence  -- stock is down -4% the last 3 months
1,EDBI,27.16,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.37% - moving average convergence divergence  -- stock is down -5% the last 3 months
2,EDBI,27.16,,Relative Stregnth Index:  67 -  Stochastic Oscillator:  84 -- stock is down -5% the last 3 months
1,EDIV,28.35,,Relative Stregnth Index:  75 -  Stochastic Oscillator:  99 -- stock is down -1% for the day
2,EDIV,28.35,Simple Average,50 / 200 day cross within 0.04% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,EDOG,22.79,Simple Average,50 / 200 day cross within 0.64% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% for the day
2,EDOG,22.79,,Relative Stregnth Index:  63 -  Stochastic Oscillator:  60 -- stock is down 0% for the day
1,EDZ,20.83,,Relative Stregnth Index:  24 -  Stochastic Oscillator:  1 -- stock is down -6% the last 3 months
2,EDZ,20.83,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -6% the last 3 months
1,EEI,10.35,,Relative Stregnth Index:  45 -  Stochastic Oscillator:  40 -- stock is down -3% for the day
2,EEI,10.35,Simple Average,50 / 200 day cross within 0.79% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% for the day
1,EET,58.22,Simple Average,50 / 200 day cross within 0.08% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last month
2,EET,58.22,,Relative Stregnth Index:  69 -  Stochastic Oscillator:  99 -- stock is down -3% the last month
1,EFC,15.71,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross within 0.14% of 10 day SMA; 10 day pointing up - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
2,EFC,15.71,,Relative Stregnth Index:  36 -  Stochastic Oscillator:  66 -- stock is down -1% the last 3 months
1,EFSC,41.10,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  8 -- stock is down -4% for the day
2,EFSC,41.10,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.52% - moving average convergence divergence  -- stock is down -4% for the day
1,EGAN,2.25,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.46% - moving average convergence divergence  -- stock is down -25% the last 3 months
2,EGAN,2.25,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  58 -- stock is down -25% the last 3 months
1,EGBN,60.80,,Relative Stregnth Index:  54 -  Stochastic Oscillator:  49 -- stock is down -2% the last month
2,EGBN,60.80,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.07% - moving average convergence divergence  -- stock is down -2% the last month
1,EGF,13.25,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -4% the last 3 months
2,EGF,13.25,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  42 -- stock is down -4% the last 3 months
1,EIM,12.68,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -3% the last 3 months
2,EIM,12.68,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  48 -- stock is down -3% the last 3 months
1,EIP,12.91,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -5% the last 3 months
2,EIP,12.91,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  72 -- stock is down -5% the last 3 months
1,ELTK,0.80,,Relative Stregnth Index:  48 -  Stochastic Oscillator:  35 -- stock is down -7% for the day
2,ELTK,0.80,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -7% for the day
1,EMDD,17.60,,Relative Stregnth Index:  65 -  Stochastic Oscillator:  75 -- stock is down -6% the last 3 months
2,EMDD,17.60,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.40% - moving average convergence divergence  -- stock is down -6% the last 3 months
1,EMGF,38.00,Simple Average,50 / 200 day cross within 0.19% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
2,EMGF,38.00,,Relative Stregnth Index:  80 -  Stochastic Oscillator:  91 -- stock is down -1% for the day
1,EMHY,49.47,Simple Average,50 / 200 day cross within 0.23% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
2,EMHY,49.47,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  87 -- stock is down -3% the last 3 months
1,EMO,13.71,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  45 -- stock is down -4% for the day
2,EMO,13.71,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -4% for the day
1,EMQQ,25.19,Simple Average,50 / 200 day cross within 0.83% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -6% the last 3 months
2,EMQQ,25.19,,Relative Stregnth Index:  68 -  Stochastic Oscillator:  100 -- stock is down -6% the last 3 months
1,EMSH,78.08,Simple Average,50 / 200 day cross within 0.13% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% the last 3 months
2,EMSH,78.08,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  83 -- stock is down 0% the last 3 months
1,ENS,78.39,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.46% - moving average convergence divergence  -- stock is down -2% for the day
2,ENS,78.39,,Relative Stregnth Index:  47 -  Stochastic Oscillator:  15 -- stock is down -2% for the day
1,EOI,12.79,Simple Average,50 / 200 day cross within 0.81% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% the last month
2,EOI,12.79,,Relative Stregnth Index:  74 -  Stochastic Oscillator:  82 -- stock is down 0% the last month
1,EPC,78.03,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  80 -- stock is down -2% for the day
2,EPC,78.03,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.17% - moving average convergence divergence  -- stock is down -2% for the day
1,EPD,28.45,Simple Average,50 / 200 day cross within 0.08% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -5% for the day
2,EPD,28.45,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  79 -- stock is down -5% for the day
1,EPR,73.14,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  95 -- stock is down -3% the last 3 months
2,EPR,73.14,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -3% the last 3 months
1,EQBK,33.15,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  60 -- stock is down -4% for the day
2,EQBK,33.15,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.24% - moving average convergence divergence  -- stock is down -4% for the day
1,EQIX,386.37,Simple Average,50 / 200 day cross within 0.65% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% the last week
2,EQIX,386.37,,Relative Stregnth Index:  74 -  Stochastic Oscillator:  94 -- stock is down 0% the last week
1,EQM,77.06,Simple Average,50 / 200 day cross within 0.91% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
2,EQM,77.06,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  55 -- stock is down -1% the last 3 months
1,EQR,60.70,Simple Average,50 / 200 day cross within 0.98% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last week
2,EQR,60.70,,Relative Stregnth Index:  21 -  Stochastic Oscillator:  12 -- stock is down -3% the last week
1,ERIC,5.82,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -4% for the day
2,ERIC,5.82,,Relative Stregnth Index:  47 -  Stochastic Oscillator:  23 -- stock is down -4% for the day
1,ERJ,22.66,,Relative Stregnth Index:  70 -  Stochastic Oscillator:  95 -- stock is down -2% for the day
2,ERJ,22.66,Simple Average,50 / 200 day cross within 0.79% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% for the day
1,ERY,10.45,,Relative Stregnth Index:  67 -  Stochastic Oscillator:  90 -- stock is down -18% the last 3 months
2,ERY,10.45,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.41% - moving average convergence divergence  -- stock is down -18% the last 3 months
1,ESL,85.40,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
2,ESL,85.40,,Relative Stregnth Index:  45 -  Stochastic Oscillator:  10 -- stock is down -2% for the day
1,ETB,17.09,,Relative Stregnth Index:  70 -  Stochastic Oscillator:  94 -- stock is down -1% the last month
2,ETB,17.09,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.24% - moving average convergence divergence  -- stock is down -1% the last month
1,ETG,14.91,,Relative Stregnth Index:  66 -  Stochastic Oscillator:  81 -- stock is down 0% for the day
2,ETG,14.91,Simple Average,50 / 200 day cross within 0.70% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% for the day
1,ETO,21.98,,Relative Stregnth Index:  70 -  Stochastic Oscillator:  78 -- stock is down -1% the last month
2,ETO,21.98,Simple Average,50 / 200 day cross within 0.86% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last month
1,ETW,10.56,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  82 -- stock is down -1% the last 3 months
2,ETW,10.56,Simple Average,50 / 200 day cross within 0.10% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
1,EUMV,21.42,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last 3 months
2,EUMV,21.42,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  86 -- stock is down -2% the last 3 months
1,EVP,12.53,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last 3 months
2,EVP,12.53,,Relative Stregnth Index:  68 -  Stochastic Oscillator:  37 -- stock is down -2% the last 3 months
1,EWEM,29.20,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  100 -- stock is down -1% for the day
2,EWEM,29.20,Simple Average,50 / 200 day cross within 0.39% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,EWH,21.02,,Relative Stregnth Index:  77 -  Stochastic Oscillator:  93 -- stock is down -5% the last 3 months
2,EWH,21.02,Simple Average,50 / 200 day cross within 0.24% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -5% the last 3 months
1,EWM,29.35,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.10% - moving average convergence divergence  -- stock is down 0% for the day
2,EWM,29.35,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  87 -- stock is down 0% for the day
1,EWN,24.65,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  95 -- stock is down -1% for the day
2,EWN,24.65,Simple Average,50 / 200 day cross within 0.33% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,EWP,27.33,Simple Average,50 / 200 day cross within 0.11% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
2,EWP,27.33,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  59 -- stock is down -1% for the day
1,EWU,31.26,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  93 -- stock is down -1% for the day
2,EWU,31.26,Simple Average,50 / 200 day cross within 0.75% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,EWX,42.18,Simple Average,50 / 200 day cross within 0.05% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
2,EWX,42.18,,Relative Stregnth Index:  77 -  Stochastic Oscillator:  99 -- stock is down -3% the last 3 months
1,EXD,11.64,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.60% - moving average convergence divergence  -- stock is down -2% the last 3 months
2,EXD,11.64,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  49 -- stock is down -2% the last 3 months
1,EXPD,52.96,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.58% - moving average convergence divergence  -- stock is down -1% for the day
2,EXPD,52.96,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  10 -- stock is down -1% for the day
1,EXPE,121.53,,Relative Stregnth Index:  84 -  Stochastic Oscillator:  92 -- stock is down -5% the last 3 months
2,EXPE,121.53,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.32% - moving average convergence divergence  -- stock is down -5% the last 3 months
1,FAAR,28.99,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -1% the last week
2,FAAR,28.99,,Relative Stregnth Index:  69 -  Stochastic Oscillator:  99 -- stock is down -1% the last week
1,FAM,11.26,Simple Average,50 / 200 day cross within 0.82% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
2,FAM,11.26,,Relative Stregnth Index:  70 -  Stochastic Oscillator:  93 -- stock is down -1% the last 3 months
1,FAUS,29.87,,Relative Stregnth Index:  57 -  Stochastic Oscillator: -- stock is down -3% the last month
2,FAUS,29.87,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.99% - moving average convergence divergence  -- stock is down -3% the last month
1,FB,130.98,Simple Average,50 / 200 day cross within 0.26% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% the last 3 months
2,FB,130.98,,Relative Stregnth Index:  75 -  Stochastic Oscillator:  98 -- stock is down -2% the last 3 months
1,FBHS,55.64,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.29% - moving average convergence divergence  -- stock is down -2% for the day
2,FBHS,55.64,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  97 -- stock is down -2% for the day
1,FCBC,29.53,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  35 -- stock is down -3% the last month
2,FCBC,29.53,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.07% - moving average convergence divergence  -- stock is down -3% the last month
1,FCFP,11.55,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.81% - moving average convergence divergence  -- stock is down -2% for the day
2,FCFP,11.55,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  40 -- stock is down -2% for the day
1,FDD,11.86,,Relative Stregnth Index:  38 -  Stochastic Oscillator:  29 -- stock is down -1% for the day
2,FDD,11.86,Simple Average,50 / 200 day cross within 0.17% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,FDTS,34.21,,Relative Stregnth Index:  57 -  Stochastic Oscillator: -- stock is down -1% the last 3 months
2,FDTS,34.21,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.45% - moving average convergence divergence  -- stock is down -1% the last 3 months
1,FDUS,16.09,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -3% for the day
2,FDUS,16.09,,Relative Stregnth Index:  39 -  Stochastic Oscillator:  58 -- stock is down -3% for the day
1,FELE,40.35,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.40% - moving average convergence divergence  -- stock is down -2% for the day
2,FELE,40.35,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  23 -- stock is down -2% for the day
1,FEMS,32.87,,Relative Stregnth Index:  87 -  Stochastic Oscillator:  100 -- stock is down -1% the last 3 months
2,FEMS,32.87,Simple Average,50 / 200 day cross within 0.16% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
1,FEU,30.47,Simple Average,50 / 200 day cross within 0.74% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
2,FEU,30.47,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  81 -- stock is down -1% for the day
1,FGM,37.93,Simple Average,50 / 200 day cross within 0.67% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
2,FGM,37.93,,Relative Stregnth Index:  69 -  Stochastic Oscillator:  100 -- stock is down -1% for the day
1,FHCO,1.08,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.97% - moving average convergence divergence  -- stock is down -4% for the day
2,FHCO,1.08,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  71 -- stock is down -4% for the day
1,FHK,34.14,Simple Average,50 / 200 day cross within 0.18% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
2,FHK,34.14,,Relative Stregnth Index:  74 -  Stochastic Oscillator:  73 -- stock is down -3% the last 3 months
1,FHY,12.63,,Relative Stregnth Index:  76 -  Stochastic Oscillator:  85 -- stock is down 0% for the day
2,FHY,12.63,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% for the day
1,FIW,40.66,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  26 -- stock is down -1% for the day
2,FIW,40.66,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.05% - moving average convergence divergence  -- stock is down -1% for the day
1,FIX,33.65,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.57% - moving average convergence divergence  -- stock is down -1% for the day
2,FIX,33.65,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  36 -- stock is down -1% for the day
1,FIZZ,49.07,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  49 -- stock is down -4% the last month
2,FIZZ,49.07,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -4% the last month
1,FLOT,50.76,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  78 -- stock is down 0% for the day
2,FLOT,50.76,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down 0% for the day
1,FLQE,27.80,Simple Average,50 / 200 day cross within 0.86% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% the last 3 months
2,FLQE,27.80,,Relative Stregnth Index:  71 -  Stochastic Oscillator:  100 -- stock is down -2% the last 3 months
1,FLR,56.16,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.30% - moving average convergence divergence  -- stock is down -1% for the day
2,FLR,56.16,,Relative Stregnth Index:  65 -  Stochastic Oscillator:  24 -- stock is down -1% for the day
1,FMS,40.40,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.25% - moving average convergence divergence  -- stock is down -4% the last month
2,FMS,40.40,,Relative Stregnth Index:  33 -  Stochastic Oscillator:  28 -- stock is down -4% the last month
1,FMY,14.09,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  29 -- stock is down 0% the last month
2,FMY,14.09,Simple Average,50 / 200 day cross within 0.71% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down 0% the last month
1,FNCL,34.81,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  21 -- stock is down -1% for the day
2,FNCL,34.81,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% for the day
1,FOF,12.12,,Relative Stregnth Index:  68 -  Stochastic Oscillator:  88 -- stock is down 0% the last month
2,FOF,12.12,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% the last month
1,FPF,23.12,Simple Average,50 / 200 day cross within 0.76% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last week
2,FPF,23.12,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  72 -- stock is down -1% the last week
1,FPI,11.35,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  42 -- stock is down 0% for the day
2,FPI,11.35,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% for the day
1,FPT,12.80,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  16 -- stock is down -5% the last 3 months
2,FPT,12.80,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence within 0.00% -- stock is down -5% the last 3 months
1,FRP,18.30,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last month
2,FRP,18.30,,Relative Stregnth Index:  35 -  Stochastic Oscillator:  22 -- stock is down -2% the last month
1,FSI,1.42,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -32% the last 3 months
2,FSI,1.42,,Relative Stregnth Index:  62 -  Stochastic Oscillator:  12 -- stock is down -32% the last 3 months
1,FTEK,1.28,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  50 -- stock is down -1% the last 3 months
2,FTEK,1.28,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -1% the last 3 months
1,FTF,12.12,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% the last 3 months
2,FTF,12.12,,Relative Stregnth Index:  67 -  Stochastic Oscillator:  77 -- stock is down -2% the last 3 months
1,FTSM,59.93,,Relative Stregnth Index:  46 -  Stochastic Oscillator:  20 -- stock is down 0% the last 3 months
2,FTSM,59.93,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down 0% the last 3 months
1,FTV,55.44,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.04% - moving average convergence divergence  -- stock is down 0% for the day
2,FTV,55.44,,Relative Stregnth Index:  67 -  Stochastic Oscillator:  52 -- stock is down 0% for the day
1,FUNC,14.30,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  12 -- stock is down -2% for the day
2,FUNC,14.30,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
1,FWDB,25.32,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  96 -- stock is down -1% the last 3 months
